1--3AtxwqG52UaohXHBX3yCBFDMsgjNCQ	2026-04-13T11:22:20.295Z	image/png	911 aquistion landing page.png
1-3CcrvZX_A6wY9y6VFSM8pa5IsoKM-Nb	2026-03-29T23:56:02.916Z	application/pdf	Prelim CD (2).pdf
1-3DNdBJhYC2kUG5ZxICOB6ToMCGnQlUp	2021-11-26T23:38:58.717Z	image/jpeg	ACBE1653.JPEG
1-5cd4hZf8FHrg15uziaxjngFPKvkIjaDsnoKmO4dmgw	2026-04-28T14:18:47.333Z	application/vnd.google-apps.spreadsheet	Rent Roll Commercial (2)
1-6UFE2QDABgfrO5kuE__iV-OOsZTkC5r	2024-03-26T01:19:49.502Z	image/jpeg	IMG_7078.jpg
1-6wWN-2SsYD8YTaQ4Z3F9bm72-lqJC1OxmKOpU4j5DI	2026-05-26T09:00:37.901Z	application/vnd.google-apps.document	277home.com Mail - Re_ Tax Lien Foreclosure – Units 6 and 8 new jersey
1-7EdNpx8jVuh2-jbMCqjT9wZ65FAG56m	2026-05-20T19:38:34.059Z	application/x-zip-compressed	E) Sales Use Occupancy Tax.zip
1-7LYGt19LImxeavSYbKeC_9-M03ygGBhxtNGvzkKOJ0	2026-06-08T18:59:18.336Z	application/vnd.google-apps.document	ChatGPT_Steven_Kollar_Against_the_World_PR_Battle_Plan
1-7mUS3EcT-dmKb23UugGklHhOnc05pZyrsl8G2fGd2Y	2026-09-19T13:53:42.957Z	application/vnd.google-apps.document	Phoenix, you are not playing one chess game—you are playing several boards at once: acquisitions, capital, legal matters, employees, operating businesses, municipalities, lenders, and partners
1-7oxooLKSyXv3HOO95COM6XHozCc6WgmmF1CHFIK4wY	2026-01-18T13:51:56.340Z	application/vnd.google-apps.document	Phoenix, let’s strip the mythology off “global leaders” and look at the actual mental machinery they run
1-8dBKk0jv6a4znSm7UIbQdVQYHyEDe9D	2026-02-25T22:29:26.984Z	image/png	image002 (6).png
1-8fvhGM_8XX-crhyWq10aLjnKrvjNypW	2026-05-29T11:01:17.268Z	application/pdf	Phoenix_Restoration_Protocol_Bio_2026-05-29.pdf
1-99EVHD28Z93b2EGZnF460_6z34JK6MYOYrkgrm5bq4	2026-05-26T09:00:35.338Z	application/vnd.google-apps.spreadsheet	Phoenix_Download_Index
1-9I9s2nNPqQ4iwrr7Zdl_PCs-wjPMjt8	2026-05-08T19:39:35.165Z	application/pdf	att bill.pdf
1-DYEuLPRDrFC1Qu_LrnjDA6wEtPkuSgq	2026-06-08T19:07:55.929Z	application/x-zip-compressed	Premier Health Tower - Dayton, OH - Value-Add Investment Property - Documents (1).zip
1-DfGc03SPFbfIzHd43_WpJbHmmLuuDsOoudSXvABK1s	2026-01-16T21:31:00.731Z	application/vnd.google-apps.document	Massa frank maconick dan
1-E7LD76D0i_4FqLqUHcsx3g0oE2mbmDt	2026-04-01T17:33:34.881Z	application/pdf	Appearance CCH & MWB.pdf.pdf
1-FKJLOzQ65JAUrN1wxrO9D7AjRYvhEX1JMJsIfiuTyI	2026-01-05T16:40:17.597Z	application/vnd.google-apps.spreadsheet	cash_app_report_1767598508737
1-FtaphLr105zAKGSfp39aq5vLi1UF-YCBN_c4vWmEec	2026-06-06T09:44:59.256Z	application/vnd.google-apps.document	Defendants' Motion to stay judgment 2
1-H1NBrLjJ665jJ9MbXKg516qX5bMAcWXC7NR1PIiVh8	2026-04-04T19:32:36.935Z	application/vnd.google-apps.spreadsheet	Phoenix_Deal_Flow_Map
1-HeDCjb-qkT0VVsE9uwUdvjfGr2oINOf90Xvs31DghQ	2026-03-29T23:56:04.132Z	application/vnd.google-apps.spreadsheet	Income statement 1Q25
1-IoKoq4f2yklZWCDsXloXbuvmcVn_4gh	2026-03-12T14:07:43.994Z	image/jpeg	steve buys houses.jpg
1-JMeYrLL9fqJEcZQKCqygwmYmXzBoSkPnFjFP8bITTI	2026-03-09T20:05:44.116Z	application/vnd.google-apps.spreadsheet	Legal_Case_Command_Center (2)
1-K8Z4XDywLdElGtfFL1X1vKM4olVkSrwc0K5OBb8-Lg	2026-09-19T11:49:57.913Z	application/vnd.google-apps.spreadsheet	Krishna Tulsi FS (1)
1-LCW0GBO2Zh_l9CZnmbH9K-i29_N083XE0dz_nm1mXg	2026-05-23T15:44:00.172Z	application/vnd.google-apps.spreadsheet	Phoenix_Target_Acquisition_Form
1-LDAR5f4Yin8aFV4xzILiQoK2zuYi3v6	2025-12-11T01:18:40.032Z	image/jpeg	IMG_5565.JPG
1-LEfgm8XELc6KuXZVizORB00A13RYald	2025-12-20T15:36:09.860Z	application/pdf	Phoenix_Signing_Ritual_bio_2025-12-20.pdf
1-Mb3hC9cdaRq9XZOuO3TeG2XQxZLO3OA	2025-12-25T13:00:38.994Z	application/pdf	20250517-statements-1484- (3).pdf
1-NaArPtplQD_folDgPxG2WEUeWyMD1C0	2026-04-28T14:18:48.758Z	application/pdf	Loan Application GSC_ (1).pdf
1-OCFjmM28SWglBe1MYB9fBv2wonOTdPEG95gLqX4mms	2026-07-28T02:13:38.662Z	application/vnd.google-apps.document	July Reflection (1)
1-Ol5uwtsutxrLc4ARrxvepEVBUHI8-P3	2026-02-16T03:00:40.177Z	image/jpeg	blizzerd 1978.jpg
1-Ot5hi1-1ksYNxNh4yc6Kct_5up4i2ZO	2026-05-16T20:12:57.019Z	image/png	E2440908-53D5-4BF3-A766-130771CA2F05 (1).PNG
1-PRlzWzToiwqvMh4R-8py0BtIUOhJh7a	2021-05-10T23:57:43.590Z	image/jpeg	IMG_5139.jpg
1-PSUlHhTA0k9jFSOJOPrszHdMRDzs-XO	2026-05-30T06:59:34.128Z	image/jpeg	hiring mamager.jpg
1-PXMnwhKLc-PnX5Szug_DiTdua6FCPMB	2024-03-26T01:19:26.079Z	image/jpeg	IMG_6909.jpg
1-RqHR9zCvNb7IKpoPCBghG9IcYspD2dS	2026-01-12T19:46:02.132Z	image/jpeg	mom 2026 c.jpg
1-S3VQEK64nGJzE_9bk1jUqUDAvjZNd-Q	2026-04-17T16:37:54Z	application/msword	Resolution - Tri State Furs.doc
1-S5F-0PpAZaTmHfA-wLR3Ch4c-3Q_JuLJ3vdaf1q9LM	2026-09-16T18:38:11.854Z	application/vnd.google-apps.document	Experian 698 experin 9-16-2026
1-SHr_fBit2EFBhESUB_l5RW7otQry9Tv	2026-03-26T02:05:54.915Z	application/pdf	Rent Roll 9.09.25.pdf
1-SdY_hHWFzWvg1KSr_mMEegkJeKCzMFSsiW_lwO97jk	2026-04-05T13:05:43.852Z	application/vnd.google-apps.spreadsheet	donald lewis 2026 draws
1-SnyQOhaEdy51H7yja9vPCMLqYtmBhjCfnpcMTkoBjA	2026-06-01T19:35:24.758Z	application/vnd.google-apps.document	Exception Documents
1-SugEaR4BGYQx5xkfSCVecIWsJ2TL5ny	2025-10-19T03:49:33.700Z	application/octet-stream	BurntheBoatsTossPlanBOverboardandUnleashYourFullPotential_ep7.aax
1-Sv8JW9qC_Pi9u1zaYH7jiPHiLvj34R06pUoqoK49yc	2026-02-13T17:05:01.808Z	application/vnd.google-apps.document	Monthly Update - January 2026 - steven@277home.com - 277home.com Mail
1-T0EbrIPI3dtlxhAzW_YhKQTsMFeWKUR-iitajuY47Q	2026-05-04T13:13:31.490Z	application/vnd.google-apps.document	EPV Fund - PPM + Subscription Documents (2)
1-TFGILpl08BMknYwyfzZPKFxEAXn_NOS	2025-12-11T00:58:12.785Z	application/pdf	Scan_20250926.pdf
1-TUegJu5oEiwozfdd1SUXTCJw4oapLzD	2026-02-15T10:04:11.460Z	application/pdf	Phoenix_Chaos_to_Command_Execution_Plan_Bio.pdf
1-TVVaSC8pyp81Lrmpg0i0TvuYsgauTXL	2026-05-26T00:43:50.478Z	image/jpeg	21140 new road.jpg
1-TlqIlJ_4xY3uh3WSiC4KnUoiq5DpUa0	2026-02-18T02:05:56.797Z	application/pdf	SOSWY_RECEIPT (2).pdf
1-UrzGySxcrCQc97agls5UTe0CNwWnUQQV3E-5d8nvjc	2026-01-08T12:46:22.788Z	application/vnd.google-apps.document	Untitled document
1-Yx4E8SPMSloA1D2db3g5hzKa59gbW939wQuuw9pQlk	2026-03-22T03:20:49.671Z	application/vnd.google-apps.spreadsheet	Transactions-3875-2026-03-19
1-ZA0vxta4RBC702j4mqGHyiuO52eAHO-	2026-07-27T11:28:56.727Z	image/png	bark fit 24 wellness club.png
1-_ecpW9B74pOEYUaeN8-Vwp_-m-ncWVE	2026-05-08T01:27:46.442Z	application/pdf	a3e866bd-a73e-4561-9b7f-739e398f0bf2.pdf
1-aHvp2xPmqDFlKsHW1pSYUqpNKb9xcPvuwPYplkmk4s	2026-02-20T03:11:02.209Z	application/vnd.google-apps.spreadsheet	7395d73c-8b12-4a5d-8924-cf9cd4359c37
